"Account Name","Opportunity Name","Close Date","Created Date","Lead Source","Notes"
"Stoneworld llc","Stoneworld Seattle - Bench","17/02/2022","27/01/2022","Inbound","spoke to ted 02/09 - meeting with kitt feb 14"
"Talent Made","Talent Made - Bench","17/02/2022","02/02/2022","High Potential Trials","sent some bench info to megan and she clicked to book a meeting"
"Tech Command","Tech Command  Bench","17/02/2022","04/02/2022","Referral","wants to explore what bench can do for him on the platform.. what he is getting

-Business is expanding
-Doesn't have time to work on his books. would like it to be more automated
-Has questions about expanding the business and hiring people
-Has a CPA that only engages with him EOY. Charges him $500 to file taxes
-Wants to see how Bench can help provide him with overview of business health
-This is probably a two call close and knows about the $800 promo

Disco call  Wednesday, February 9, 2022 at 10AM ET

Jeff din't show up to the meeting. probs an emergency and rescheduled them to Wed Feb 16 at 11am ET

- smaller business help
- had a bookkeeper before but was a barter system
- S Corp
- Wife is CEO"
"Atlas Group LTD","The Atlas Agency - Plus + Bench","17/02/2022","15/02/2022","B2B Marketing","The Atlas Agency

Sys ID: 7304022
Plus with 60% off 6 months- $10 due today
Bench core bookkeeping package with $800 off discount
$0 due February
$0 due March
$97 due April
$299 ongoing

Bench core bookkeeping for 2 businesses:
The Atlas Agency- Brokerage agency, S-Corp, 2 partners
Atlas Hospitality and Management DBA Recreational Investments LLC- Hospitality/management, single member LLC. Setting up Bench under Recreational Investments LLC

12-15 businesses
Vertically integrated, different structures
Real estate development
Investments/hedge funds
Wants custom reporting to show all companies
Incentive allocation
Bench works for the brokerage only
Would like to hire an accounting firm that FreshBooks has worked with
Signed up 1 business (Atlas Group LTD) on select initially. If this goes well and covers her needs, she will sign up the remaining 12 businesses on Plus or Select.

Atlas Group LTD- Umbrella company
Atlas cottage homes
Atlas development/design- expenses
Atlas agency- real estate brokerage
Luxury home builder- acquired (Atlas custom homes)
Atlas technology/media
Atlas acquisitions/holdings
Atlas custom homes
Atlas financial services
Atlas Recruiting
Atlas transport/logistics
Atlas communities/development
-Atlas capital management- private equity, maybe no account
-Atlas hospitality/management
-Atlas networking

Need 13 total- 1 Select and 12 plus likely
Could have additional Select if needed and if she sees the value
May use Bench for 1-2 of the businesses
All except 1 business have activity
Partnering with custom home builders, may need access to financial reports- could also just send
Spent time looking at balance sheet and Chart of Accounts
Would like to easily account for multiple ownership within each business
Briefly discussed Gusto as well"
"Words For Hire, LLC","Words For Hire, LLC  "" - Bench Catch up (4 months)","17/02/2022","16/02/2022","B2C Marketing","$1,196 ($299 x 4 months, Jan 2021 - Apr 2021) for catchup"
"Aaron Newberry Music, LLC","Aaron Newberry Music, LLC  - Bench Essential","16/02/2022","11/02/2022","B2C Marketing","Friday, February 11?16:15 ? 16:45"
"Cancer Communicator, LLC","Cancer Communicator, LLC  Bench Essential","16/02/2022","15/02/2022","B2C Marketing","Bench Essential Plan

Wants to test it out. Spoke to her 6 months ago about this. price was steep but being able to review the next few months as she is growing will help her determine if this is a good fit

Call:  Tuesday, February 15, 2022 at 5pm ET


Notes
-Consulting, drafting up plans and strategy for Nurses and Doctors
- reopened the business during pandemic
- doesn't have a lot of expenses
- will be travelling soon
- based in Washington
- clients are on east coast
- turns down the work because she is so busy"
"Eye of Balance","Eye of Balance- Premium + Bench","16/02/2022","08/02/2022","Inbound","Phone:8313459769?Name: Monica?Email: monica@eyeofbalance.com?Company Name: https://www.eyeofbalance.com/
Type of Business: bio mechanics 
Current Software: uses Quicken but not good...thinking of signing with FB or QB
Reason they are looking for a new software:?-Invoicing ?-Retainers 
-Is there an integration that can automatically deduct from the client once they visit her calendar? after they book a time with her??-Small business 
Timeline: n/a
Other: n/a"
"Infiniqo, Inc.","Infiniqo, Inc.  - Bench Essential","16/02/2022","11/02/2022","B2C Marketing","1800 accountant for taxes - only for advise - once a year
no bookkeeper for monthly
until now excel spreadsheets
started using freshbooks since september
manual labor

last year - he filed an extension, he was happy with the services. using them for 2 years.

s corp

monthly bookkeeping tactical thing -more value is advisory

Business is growing, he does not want to do it himself, would rather do something else with his time

Tax strategy and advise - he gets that only before filing - he is growing."
"JK Contracting of SC, LLC.","JK Contracting of SC, LLC.  - Bench Essential $299","16/02/2022","16/02/2022","B2C Marketing","Client moving forward with Bench for $800 off. 
$ for Feb, $0 for March, $97 in April"
"KD Consulting Company","KD Consulting Company  Bench CU","16/02/2022","15/02/2022","B2C Marketing","Katherine is doing CU for months she did not initially when she signed up."
"Mark Manley Landscape","Mark Manley Landscape  - Bench","16/02/2022","15/02/2022","B2C Marketing","Customer is working with an accountant but spends 2 hours per week on Bookkeeping and accounting. Tax filing done by CPA. No real access to real-time insights, no control on process. Spends approx 500 per year for tax filing. Wants to excercise more control and learn in depth."
"Rebecca Rosenberg Content Strategis","Rebecca Rosenberg Content Strategis  Bench Essential","16/02/2022","14/02/2022","FreshBooks Trialers","Bench Essential $299/mo
Has a CPA
based in turkey, business is US
brand new and wants help with monthly bookkeeping

Call: Tuesday, February 15, 2022 at 9:30am EST


Refund: $175.19 TBD
Downgrade to Lite Plan"
"Ty's Machine Co.","Ty's Machine Co. - Bench Premium + CU","16/02/2022","10/02/2022","B2C Marketing","Friday, February 11?15:45 ? 16:15, rescheduled to Tuesday Feb 15 @ 11 am MST

2nd call for Wed Feb 16, 2022 14:30 - 15:00

CU 12 months - $2,788 (Jan - Dec 2021 at $299 per month with -$800 promo applied upon activation tomorrow)"
"Coalesce","Coalesce  "" - Bench Tax Filing -Essential","15/02/2022","08/02/2022","B2C Marketing","Customer looking for Bookkeeping solution going forward as well as 2021 Historical catch up Customer is book with a meeting with Jeff Law on Feb 14th at 10am"
"ResCo Roofing Company","ResCo Roofing Company  "" - Bench BKK""","15/02/2022","10/02/2022","B2C Marketing","Bench call with Jeff on Feb. 10th at 6:00PM EST
$299

Follow up call Friday Jan. 11 at 10:00am"
"Seed Creative","Seed Creative  - $299 Bench Essential","15/02/2022","11/02/2022","B2C Marketing","Client is interested in Essential Plan at $299, is unsure if the will need CU - Appt set for Feb 15th at 1030am CTL with Mackenzie Welch."
"Bulkitrade, Inc","bulkitrade,inc-BENCH + Lite with 20% discount","14/02/2022","09/12/2021","Clearbit","Next steps :
Next to set up a final Bench demo call with Kitt
Need to discuss about FreshBooks. How he can leverage our invoicing , payments collection, account payable section for his business,
He wants to learn about GUSTO. Need to book a call with him about it.
******
22nd Dec - Sign up call tonight.
******
4 pm, 22nd Dec - The client asked for an extension till 4th Jan. He said, he hasn't received his funding and would like to wait out till it hits his bank.
Has been pitched - Premium Bench Plan with 5months of CU(2 months price for 2020 books and 3months for 2021 books plus tax filing). 2020 tax filing needs to be done with taxfyle because he couldn't sign up on time"
"James Young","James Young  ""Bench + Plus""","14/02/2022","07/02/2022","FreshBooks Trialers","7th Feb - 2 businesses - Cleaning services and handyman 
Is not using any software at all to track stuff

Handyman company - redmodelling, concrete work, 
estimates, material, separate,scheduling the job, service the job, walk-through for the job, do the work, finish, cash, money order, 1 - 10k,"
"K&R Excavation LLC","K&R Services  - Bench Essentials","14/02/2022","13/02/2022","B2C Marketing","Kyle uses a local accountant but was always worried about the accuracy of his books and the trouble it caused for his accountant (and lots of time he needed to review his expenses). He asked for me to get this to him for Springtime so we connected over the current Spring tax time promo.
Meeting with Kitt on Monday @ 7:30 EST (3:30 pm Alaska time)

He'll be jumping onto their Essential plan with the $800 off discount:
$0 - Jan (trial)
$0 - Feb
$0 - March
$97 - April (15th).
60-day commitment then $299/month ongoing in May."
"Lawn & So On","Lawn & So On  "" - Bench","14/02/2022","09/02/2022","Internal","Difficult to keep track of his expenses, especially when he's in the middle of a million things. He mentioned that a lot of it is habit and discipline, and should be staying on top of it more. 

Has a business checking account for incurring expenses. Usually is a bag of receipts that he inputs one by one onto an excel sheet. He doesn't keep track of it during the season, it's something he tries to manage during his off season (which is right now). I asked him if he ever looked into getting a bookkeeper, he said he's thought about it but doesn't have any good connections in that field. He has a CPA that he uses every year, but it is mainly for just filing, not strategy for the most part. 

Told him about pricing and $800 off promo

Zoom Call on Monday Feb 14 at 10:15 EST

Moving forward with Bookkeeping ongoing -> $299/month
- taking advantage of $800 off promo

Name: Justin templeton
Date Closed : Feb 14 - 22
Amount Billed : $0 ($800 off, essential monthly)
Onboarding Call Date/Time: February 21st - 930 am EST with Priyana
Docusign: Discussed
60 Day Commitment Discussed: Y
Separate Platform Confirmed on Call: Y

so $0 today, $0 march, $97 april, $299 per after"
"Mustard Splatter Design","Mustard Splatter Design - Plus Monthly + Bench Essential","14/02/2022","07/02/2022","FreshBooks Trialers","- Uses QB online, said they?ve screwed her too many times
- She?s an S corp, pays herself payroll since she pays herself a salary 
- QuickBooks charged her $500 to clean up her books plus monthly fee when she didn?t authorize it. 
- Customers pay credit card or ACH
- Bench Meeting - 1:45CST 2/11

2/11 - Had bench demo with Jeff Law. Got verbal agreement for Bench Essential, singing and sending back the docusign today. Upgraded to monthly Plus Plan with 70% off for 3 months to get the FB + Bench deal closed today."
"Pretect LLC","Pretect LLC  - Bench Essentials","14/02/2022","13/02/2022","B2C Marketing","Zach and I connected in November about his expense management options on the platform, as he's now decided he will stay with FB he wanted to leverage Bench for his bookkeeping as it's a great price alongside his accountant (and this will help automate his processes and save time). Interested to take advantage of tax time special promo, arranging a meeting with Jeff on Monday, Feb 14th at 3:00pm EST.

He'll be jumping onto their Essential plan with the $800 off discount:
$0 - Jan (trial)
$0 - Feb
$0 - March
$97 - April (14th).
60 day commitment then $299/month ongoing."
"Bardia Farahmand","Crown Dental Care  ""Bench + Lite""","13/02/2022","02/02/2022","High Potential Trials","Manually added $47,921.36 USD in expenses
*******
4th Feb - The client has been working with an accountant who's charging them monthly fees and not providing them any financial reports. Moreover, he has to send them all the documents every week to make sure their teams have up-to-date numbers. It's costing him 1-2 hrs every week to take of this which he would rather spend on new clients."
"Classic Works Services,LLC","Classic Works Services,LLC - Bench Essential (annual)","11/02/2022","20/01/2022","FreshBooks Trialers","Bench Bookkeeping Essential Plan paid yearly - $2,988 is the reg price
With the $800 off = $2,188 (Feb 2022 - Jan 2023 coverage)"
"Modern Roof Pros, LLC","Modern Roof Pros, LLC  "" - Bench BKK""","11/02/2022","10/02/2022","","Discovery call with Jeff 
Feb. 10/4:30 EST
$299 MRR"
"Outpost Plus","Outpost Plus  - Bench","11/02/2022","10/02/2022","B2C Marketing","- Bench call set for Feb 10th at 2:00 PM Mountain Time
- Essential Monthly- Monthly option: $0 this month, $0 March 2022, $97 for April 2022, $299 per month after that"
"Phoenix Rose Media LLC","Phoenix Rose Media LLC  - Plus + Bench","11/02/2022","10/02/2022","High Potential Trials","Going to use program moving forward. Mostly using for invoicing. Also booked Bench call as she does not like doing own bookkeeping. Closed Bench and Plus with one staff - 80% off for 3 months was on account."
"Quantum Sight Marketing LLC","Quantum Sight Marketing LLC  - Bench Tax Add-On","11/02/2022","11/02/2022","B2C Marketing","Customer wants Bench to file his 2021 taxes"
"Digital Davinci Technology Solution","Digital Davinci Technology Solution  - Bench 2020 Catchup","10/02/2022","10/02/2022","B2C Marketing","Customer requested 2020 catchup in 3 instalments:

$1,196 today, $1,196 march 10, $1,196 april

Account is also currently being billed for 2021 catchup (2 bills, second coming on Feb 17)"
"Dynamic Excavating And Concrete","Dynamic Excavating And Concrete  ""BENCH Premium""","10/02/2022","09/02/2022","FreshBooks Trialers","Was able to book him in for a same day Bench Call with Jeff we got him on the Premium Plan


He has a excavating concrete company. Hates keeping track of his expenses?he does it but cannot stand it. He is extremely busy making good money processing through Wepay with us. Has 3 Bank account just wants someone to put it in the right category and help him out. Super straight forward"
"Kansas Generator Service LLC","Kansas Generator Tech - Plus + 1 Staff + Bench","10/02/2022","07/02/2022","FreshBooks Trialers","Plus 80% off 3 marketing discount applied
Added 1 staff seat
Started business recently
Mostly commercial work, getting into some residential
Does not have a bookkeeping/accounting system in place
Bench call scheduled
Quoted $299/month starting with $800 promo"
"OMGFemaleFilmmakers, LLC","OMGFemaleFilmmakers, LLC  - Bench","10/02/2022","07/02/2022","FreshBooks Trialers","Steph has been running her video editing business as a freelancer for a few years, and recently quit her job at HP to go full time. Has 10 consistent clients she?s bringing over, and she just completed a $6000 project with her former employer. She?s currently searching for a bookkeeper/accountant to invite onto FreshBooks.

Update Feb 10: Call with Jeff - closed on Essential plan with $800 off promo."
"Reztech Media","Reztech Media   - Bench $299 Monthly","09/02/2022","07/02/2022","B2C Marketing","Customer moving to Bench Essential plan at $299/Month (Received $800 bench promo)"
"ADAM SHAPIRO PUBLIC RELATIONS","ADAM SHAPIRO PUBLIC RELATIONS  - Bench","08/02/2022","01/02/2022","","-Disco with Bench scheduled for Feb 3rd at 3:30 PM Eastern
- Monthly option: $0 this month, $0 March 2022, $97 for April 2022, $299 per month after that"
"Method MFG, llc","Method MFG, llc  - Bench Essentials","08/02/2022","07/02/2022","B2C Marketing","Spoke to Rhys

He's currently searching for a bookkeeping solution to go hand-in-hand with his current accountant. We've scheduled a demo call for Monday, Feb 7th at 3:45PM EST to go over Bench and see whether it's a fit.

Pricing/Demo call went well. Rhys would like to proceed with Bench as his bookkeeping partner.

Due to the promotion, his billing for the next few months looks as follows:
Due today: $0 (February 2022)
$0 (March 2022)
$97 (April 2022)
$299 (May 2022)!
Regular pricing onwards after May."
"Millstone Labs, LLC","Millstone Labs, LLC  - Bench","08/02/2022","02/02/2022","High Potential Trials","Bench Bookkeeping Premium Plan paid yearly - $4,788 is the reg price
With the $800 off = $3,988 (Feb 2022 - Jan 2023 coverage)

Has an Accountant who helps with filing taxes for about $600/yr 
Is interested to learn about the hands-off approach with Bench for his Bookkeeping needs. 
File taxes together - his wife and him 
She's a nurse practitioner."
"Cameron Digital Consulting","Cameron Digital Consulting  ""BENCH ESSENTIAL""","07/02/2022","03/02/2022","Inbound","We did the call with  Jeff & were able to close Matt on the essential plan for $299 a month he wanted to take advantage of the $600 off

We had spoken about bench when I signed him up on select in January there was a lot on his plate at that point wants his books to be handled by someone else asked me to reach out in FEB I did we booked it in."
"Miller?s Diesel Services LLC","Miller?s Diesel Services LLC  - FB+Bench","07/02/2022","24/01/2022","FreshBooks Trialers","Bench Core - $299/month 
Billing details: $800 credit. $299 for February 2022, $299 for March 2022, $97 April 2022, and then $299 per month after that"
"Randall Reeve Construction","Randall Reeve Construction  - Bench Premium $499","04/02/2022","26/01/2022","B2C Marketing","Client interested in Bench Premium. Call went well with Kitt, but couldn't get the bank connections going. Follow up tomorrow - Feb 1 at 5:15pm EST. 

Currently doing all the books himself, writing it down in a book and keeping paper copies of everything. Was interested in getting this sorted for him as he is not technically savvy, and thinks he would struggle a bit with tracking everything himself online. 
Potential for catchup as well"
"Kustom Printing and Services","Kustom Printing and Services  "" - Bench""","03/02/2022","02/02/2022","B2C Marketing","had a lost opp for her from last year.
set up a call for Feb. 3rd at 9:30 AM with Jeff.
Reached out to her and informed her of the $800 promo.
She is interested to discuss BKK again due to the current promo.
She is behind in her books for a few years as she hasn't done anything"
"Sundial Pools, LLC","Sundial Pools, LLC  - Bench","03/02/2022","28/01/2022","B2C Marketing","Spoke to the customer over a discovery call and showed interest in BKK service, already using Gusto for Payroll. Informed them about Bench and asked to connect with Tereasa who is their Admin about Bench. 

Spoke to Teresa about Bench and their current BKK needs on 28th Jan' 2022 and booked a discovery call with Jeff Law for 31st Jan 2022 at 6:00 PM EST

1) The main issue they are facing at the moment with their BKk system is that they don't have any proper system in place and just doing it manually.
2) They do not have a holistic view of the health of the company
3)Do not know if the specific projects are profitable or not
4)Looking for a holistic view about the company's health and a report that can help them understand the profitability of their every project as well if possible

The discovery call went great, they have connected their accounts for the trial month, Michael took over for Jeff. Follow-up call scheduled for 31.0122, 8 PM EST, call got rescheduled by the customer for 1st Feb, 2022 at 8PM EST due to late show of the Bench Rep"
"Wholesale Shadings LLC","Wholesale Shadings LLC  "" - Bench Essential","03/02/2022","02/02/2022","B2C Marketing","Mark has decided to go through with bench essential and will be paying annually. He will be paying $2188 per year after discount. From feb 2022- March 2023"
"B&B Automotive Repair LLC","B&B Auto  ""Bench""","02/02/2022","28/01/2022","FreshBooks Trialers","Bryan interested in taking book keeping with $800 discount"
"Effortless Junk Removal","Effortless Junk Removal - Bench + Plus","02/02/2022","01/02/2022","FreshBooks Trialers","Have email marketing business that used to use it for. Now have a junk removal business - realized there was a lot of money in this. Using for invoicing - booked a Bench call as well. Signed up for Plus. 60% off for 6 months was on account."
"Dixon IT Consulting, LLC","Dixon IT Consulting, LLC  "" - Bench Tax + 2020 Filing Add-On","01/02/2022","27/01/2022","B2C Marketing","$1968 for Bench tax add on, biz& personal, and 2020 filings
1 time charge of $1699 for 2020 and then $269 ongoing tax monthly"
"Donnelly Tax Law","Donnelly Tax Law  "" - Bench","01/02/2022","28/01/2022","B2C Marketing","Closed this account on essential annual Bench and 11 months of catch up.  Moving billing to annual."
"Ramp51 Technologies LLC","Ramp51 Technologies LLC  - Bench","01/02/2022","16/12/2021","B2C Marketing","- As his business grows he wants to outsource, automate and improve his bookkeeping process before it becomes unmanageable. Actually, it's already unmanageable!
- Billing is Essential Annual Plan with 6 month 20% Account
- $0 for December Catchup, $2689.20/annual ($224/month) first year only
- After first year $2988/annual ($249/month)"
"Techmana","Techmana  - Bench","01/02/2022","07/01/2022","B2C Marketing","- As his business grows he wants to automate and outsource his bookkeeping process. Between us and using Quickbooks

- Disco call with Bench scheduled for January 12th, 2022
- Followup Bench demo scheduled for January 13th, 2022

- Essential Package: $0 this month, $239.20 per month for the next 6 months moving forward, $299 after that"
"Adwebvertising LLC","Adwebvertising LLC  - Bench Tax","31/01/2022","28/01/2022","","The client is moving forward with bench tax for 2022 - a $200 add-on. 
First charge January 28, and then added to their regular billing cycle"
"Aldrich Technology Consulting","Aldrich Technology Consulting - Bench Tax (Personal)","31/01/2022","07/01/2022","B2C Marketing","Adding personal tax filing ongoing for additional $69/monthly"
"E. M. Perkins Consulting, LLC","E. M. Perkins Consulting, LLC - Bench + Catchup","31/01/2022","31/12/2021","B2C Marketing","customer is moving forward with monthly $299 + 10 months of catchup services at $239.20."
"PathLynks, LLC","Fanny Dunagan  ""Bench""","31/01/2022","25/01/2022","B2B Marketing","Client is taking bench offer for 299 with 20% off first 6 month"
"Bloom & Grow","Bloom & Grow  - Bench","28/01/2022","27/01/2022","FreshBooks Trialers","Thurs Jan 27 at 4 pm"
"CBRD LLC","CBRD LLC- Select 100 + Bench Tax - 9 Month Historical","28/01/2022","25/01/2022","B2B Marketing","held call with emily
currently has no process in place
Emily is an accountant and when opening the business mid way through 2020 she thought she would have time to handle books for her own business
she is fully aware that she is backed up against a wall and needs to outsource the handling and needs a better system in place for billing - currently uses excel
prepared emily for the fact that bench will need to do full catch up on 2021 to be able to prep her taxes for this current year and time is against us

select 100 - potentially select 200 -- main business is processed through ACH and typically invoices 40-100k out on a monthly basis. Going to attempt to sell select200 based on ACH cap of 10

Bench meeting booked - 1/25 with Mackenzie 10AM EST
Gusto Meeting booked - 1/25 with cody 1:30 PM EST

Will update after closing with more notes

1/25/2022 update:
Call with Gusto completed with Cody, will be moving forward based on verbal commitment from Emily. Cody states that Emily will be moving forward and has started the process of getting necessary information to Gusto to start running payroll - Close date TBD -- Total approximate MRR based on conversation ~$200

Bench call completed with Mackenzie - we have moved this forward for full closing and account set up on 1/27/2022 with Jeff Law at 1PM EST."
"?Em-Maculate Cleaning Services","EM-Maculate Cleaning Services - ""Bench Opp""","28/01/2022","25/01/2022","Drift","Emmy recently started up her own cleaning business and required full end-to-end bookkeeping with tax services. Set her up with Premium bench plan @$499. She has been scaling her business since July of last year and recently just hired on one additional employee. She is very keen on ensuring that her books are spot on and can account for everything. She is a big proponent of running the business as smoothly as possible and I assured her by being on the select package in tandem  with Bench it would help not only automate her business but allow her to put it on auto pilot to some degree some a financial management perspective. She is looking at expanding and adding in more employees as she continues her growth."
"Sacred Experience by Joshua","Sacred Experience by Joshua  - Bench Essentials","28/01/2022","25/01/2022","FreshBooks Trialers","Spoke to Joshua, who's a sole proprietor for his business. Due to having a new born baby, and being the only person running the show, his ad-hoc admin work falls on the wayside. He's interested in learning more about Bench to see whether they're a good fit for him as a bookkeeping solution.

disco for Jan 27th, 2022 at 6PM EST"
"Trell Trucking llc","Trell Trucking llc  ""Bench""","28/01/2022","27/01/2022","FreshBooks Trialers","Has employees

Invoicing - 
and another 2 clients 
1400
1200
Cheques 
ACH - 3% 

Bookkeeper - Doing it himself 
QB to bookkeeping"
"Collegewise Los Angeles","Collegewise Los Angeles  - Bench","27/01/2022","24/01/2022","B2C Marketing","Kirsten's husband Erik is currently doing all of their bookkeeping but he does not have much experience doing it nor does he enjoy it. They are trying to find ways to simplify their backend processes to free up their time to work with students.

They are hoping to get something in place by the end of the month.

Call booked with Michael for Jan 25 at 3 pm EST.

Disco went well pricing booked for jan 27 at 3 pm EST. Had a lot of questions but seemed quite engaged and excited that a solution like this exists.

Pricing went well, they are moving forward on the monthly essential plan."
"Fly View Productions Inc","Fly View Productions Inc  - 11 months Bench Catchup","27/01/2022","27/01/2022","B2C Marketing","Moving forward with catchup for all of 2021 - Jan - Nov (Dec Free) for 30% off - $209.30/month
Two installments - $1,151.15 Jan 27, and Feb 27"
"The Vakay/Leonard Chinnici","The Vakay/Leonard Chinnici  ""Bench catchup 2021-  11 months ""","27/01/2022","27/01/2022","B2B Marketing","MSG FROM JEFF:

aamer
6:00
he just met the team and he's given us the ok for catch-up
6:00
$3,289 for Jan 2021- Nov 2021 at $299 per month"
"Watts Performance Solutions","Watts Performance Solutions  - Bench catchup 4 months","27/01/2022","27/01/2022","High Potential Trials","Visa x-0961
11/2025
Devin Watts

2837 Lovvorn Road, Carrollton, GA, 30117, US

When we initially signed him up in December we had discussed going back and catching up their books for early 2021 we were able to go back and have the conversation late Jan and he had agreed to have 4 months of catchup completed to get the books gong for filing in march 2022 

Email:

Hey Aamer, unfortunately he wasn't prepared to do all of 2021 for catch-up and tax because the first 6 months of the year are already completed by a professional service and he can't afford the tax subscription moving forward.
We got him on 4 months of CU with a 20% discount, split into 2 installments (he's still not making much money unfortunately).
Please could you run an invoice for $478.40 right away to the card on file and process another for the same amount in 2 weeks"
"Market Refined Media, LLC","Market Refined Media, LLC  - Bench Essential","26/01/2022","20/01/2022","B2C Marketing","Wednesday, January 26th at 10 AM EST"
"AV SEALS LABOR GROUP LLC","AV SEALS LABOR GROUP LLC  - Bench Premium","25/01/2022","18/01/2022","FreshBooks Trialers","Charles started his business in 2018 and it exploded. We set him up on a Select plan for estimates and invoices because qbo was giving him a hard time. invoicing and estimates were too time consuming

He currently has a CPA that does bookkeeping and taxes for him. He's not happy with his CPA's service. Said that he's had to file an extension every year since he's been in business, and the books are rarely done in a timely fashion. He also mentioned that every time he picks up the phone to speak with hhis CPA he feels like he's about to call his lawyer because it costs an arm and a leg to talk to him.

Set up a call with Jeff Law for 1/19 at 1:30 to discuss bench. I've already given him a rough quote for Premium and for 11 months of catchup to take advantage of Bench's offer this month to do '21 tax filing for free."
"Fly View Productions Inc","Fly View Productions Inc  - Bench Premium","25/01/2022","19/01/2022","B2C Marketing","Client is moving forward with Bench Premium on an Annual Basis - 20% discount on the first 6 months. 

Premium Annual: $4,309.20 for the next 12 months of books + taxes covered ($314.10 per month) - $399 with 20% off for Jan-Jun, $399 for Jul - Dec 2022
Savings: $1,200
Also debating catchup for all of 2021 - 11 months - Dec Free

Client is interested in Bench Bookkeeping. Does not have a formal bkk process currently, been trying to manage in FB and on Excel. Open to learning about Premium as well. They have a CPA, but are open to seeing alternatives. Already using Gusto as well. Went through pricing for both Essential and Premium, and seemed open to it. Is also looping in his wife (partner). 

Call scheduled with Jeff from bench for Tuesday January 25 @ 11:30 AM EST
Lead from Omar"
"Howell at the Moon Productions","Howell at the Moon Productions  "" - Bench catchup","25/01/2022","25/01/2022","Marketing","bill Howell at the Moon Productions $438 ($219 x 2 months, Jan 2021 + Feb 2021)"
"Latino Workforce Staffing, LLC.","Latino Workforce Staffing, LLC.  - Bench","21/01/2022","20/01/2022","B2C Marketing","- Discovery call booked for Jan 21st at 10:00 AM
- Catchup for Jan 2021 to Nov 2021 is 2,421.90 and Annual Essential $2,688"
"Pear Tree Services, LLC","Pear Tree Services, LLC   - 4 months of Bench Catch Up","21/01/2022","21/01/2022","B2C Marketing","349 x 4 months total $1396 for 4 months of catch up Jan - April 2021"
"justin@spencersem.com","SpencerSEM  - Bench","21/01/2022","21/01/2022","","- Bench call booked for Jan 21st at 09:30 AM
- Premium Monthly - $399.20/m for the first 6 months, then $499/m"
"All American Management Group Inc./","All American Management Group Inc - Bench","20/01/2022","20/01/2022","","Client has come back and wants to move forward with Bench Essential package - $239.20 for the first 6 months, $299 after"
"Custom Craftsmiths","Custom Craftsmiths  - Bench Essentials","20/01/2022","13/01/2022","B2C Marketing","Had an initial discovery call with Daniel on January 13th. He seems to be interested in getting some sort of bookkeeping solution going for his business.

We have our set-up call scheduled for Monday, January 17th at 11:30AM EST."
"McEwan Golf Co","McEwan Golf Co  - 5 months of Bench Catchup","20/01/2022","20/01/2022","B2B Marketing","$269.10 x 5 months, Jan 2021 - May 2021 CU (10% off of $299) - $1,345.50"
"The Vakay/Leonard Chinnici","Property Management Services- BENCH Essential plan","20/01/2022","20/01/2022","B2B Marketing","Great call with Jeff at Bench & Leonard super excited to use Bench will need catchup as well 
 Nice 30+ minute conversation with leonard mentioned he is kicking off a new business and also trying to get his books in order we spoke about him doing it he mentioned its taking him weeks to get his books straightened out wants immediate help with that. We spoke about Bench and the value it may have for him...Quoted him the $299 he mentioned that sounds about right wants help getting his 2021 in order then getting something in place for his 2022"
"Walden Leadership Group","Walden Leadership Group - PLUS PLAN potential Bench as well","20/01/2022","13/01/2022","High Potential Trials","Primarily using FreshBooks for Invoicing Allie runs a coaching business  its executive coaching sending out invoices for 3k - 10 k also using our expenses tracking feature ,

Reached out via cadence, - VM _ > emails as well 

We believe there is strength in numbers. As a collaborative of organizational consultants, leadership coaches and facilitators, we design and implement initiatives that bolster effectiveness and impact. We identify incredible talent from a large network of over 30 practitioners to design and deliver exactly what our clients need."
"Cox Drain Cleaning Services LLC","Cox Drain Cleaning Services LLC  - Bench","19/01/2022","12/11/2021","FreshBooks Trialers","call with jeff 11/15
call with jeff 01/12
call with jeff 01/19
moving forward with premium monthly"
"Digital Davinci Technology Solution","Digital Davinci Technology Solution  - Bench Catchup","18/01/2022","17/01/2022","B2C Marketing","Customer asking for 8 months of catch-up at $299 x 8. 2 Installments. $1,196 now and set up an autobill for Feb 17th for $1,196? ($299 x 8 months, Jan 2021 -  Aug 2021, broken up into 2 installments)."
"Frederick William Hoag Architect LL","Frederick William Hoag Architect LL  - Bench","18/01/2022","10/01/2022","B2C Marketing","Rick does all the bookkeeping on his own, and does it late at night after he has wrapped up for the day with client work. He has a general understanding of how to do it but thinks a more professional approach would benefit him since then he wouldn't have to do it and it would be getting done properly. 

Right now they use freshbooks to categorize everything on their own and try to use general knowledge to maximize deductions. Done late at night so he knows there is a better way to spend his time. Plus he charges $350/hour so there is always a better use for his time. 

call booked 3PM EST on Fri Jan 14th. Moved to Jan 17th at 2

moving forward on monthly 299 first month free."
